"Magento Status","Magento Status"
"Sprinque Status","Sprinque Status"
"Add","Add"
"Registration number is already used","Registration number is already used"
"Could not save the entity: %1","Could not save the entity: %1"
"Could not delete the entity: %1","Could not delete the entity: %1"
"Company not found","Company not found"
"Click here","Click here"
"to use it anyway","to use it anyway"
"Can't find your business?","Can't find your business?"
"You can continue by creating new one","You can continue by creating new one"
"<a href=""#"">Click here</a> to add it manually","<a href=""#"">Click here</a> to add it manually"
"Please select your business","Please select your business"
"Country","Country"
"Company Name","Company Name"
"Registration number","Registration number"
"Next","Next"
"Business address","Business address"
"To approve your payment term we need your company information to run a credit assesment","To approve your payment term we need your company information to run a credit assesment"
"Address","Address"
"Apartment, suite, etc (optional)","Apartment, suite, etc (optional)"
"City","City"
"Postal code","Postal code"
"Prev","Prev"
"Verify your email","Verify your email"
"To make sure it's really you we have sent a code to","To make sure it's really you we have sent a code to"
"Confirm","Confirm"
"The code you entered is incorrect. Please try again","The code you entered is incorrect. Please try again"
"If you have not received the code, please check your spam folder or","If you have not received the code, please check your spam folder or"
"Resend Code","Resend Code"
"We are verifying your account","We are verifying your account"
"AuthCreditExceededError","AuthCreditExceededError"
"Go Back","Go Back"
"Choose another payment method","Choose another payment method"
"All Set","All Set"
"Your account has been created and you’ve been approved to Pay with Net Terms!","Your account has been created and you’ve been approved to Pay with Net Terms!"
"Payment Terms: ","Payment Terms: "
"Next step: confirm your order now and we will send your invoice to pay in ","Next step: confirm your order now and we will send your invoice to pay in "
"Next step: confirm your order now and we will send your invoice to pay to your email","Next step: confirm your order now and we will send your invoice to pay to your email"
" days to your email."," days to your email."
"Confirm order","Confirm order"
"Purchase under review","Purchase under review"
"Your business is Under Review. It may take up to 24 hours for approval, post which the order will be automatically placed.","Your business is Under Review. It may take up to 24 hours for approval, post which the order will be automatically placed."
"You can either confirm order to continue or choose a different payment method.","You can either confirm order to continue or choose a different payment method."
"Continue and wait","Continue and wait"
"Placing your order","Placing your order"
"Confirm cancelation","Confirm cancelation"
"We have noticed a purchase has been made from <strong>*Location*</strong>.","We have noticed a purchase has been made from <strong>*Location*</strong>."
"If this was not done by you, please cancel your order","If this was not done by you, please cancel your order"
"View order details","View order details"
"Cancel order","Cancel order"
"Buy now and pay later for businesses","Buy now and pay later for businesses"
"Place Order","Place Order"
"This is a required field.","This is a required field."
"Sprinque","Sprinque"
"Enabled","Enabled"
"Title","Title"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Api Key","Api Key"
"Enable Test Mode","Enable Test Mode"
"Status Mapping","Status Mapping"
"Free","Free"
"Net 7 days","Net 7 days"
"Net 15 days","Net 15 days"
"Net 30 days","Net 30 days"
"Net 45 days","Net 45 days"
"Net 60 days","Net 60 days"
"Net 90 days","Net 90 days"
"Pay In Advance","Pay In Advance"
"Billing or Accounts Payable email","Billing or Accounts Payable email"
